round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
65,64,3,3,12416.416799999994,0.0,12528.5275,0.0,12526.463,12526.463,0.0,0.0,0.0,0.0,0.0025,0.0001,0.0,0.0,1.0,260.4308290956426,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.5,0.25,124.55589999999997,2517.411799999998,12.6009,126,1401.8992,1168.5279999999998,1495.0858,85.93630000000013,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,196.4203,0.0,0.0105937999216437,3.9409880597014935,4.88654461538462,,1.4703656250000008,3.069377275012573,3.0429251868291245,130.0,134.0,65.0,256.0,156.0,25.0,25,0,0,1,6,5.0,256.0,10171.810399999997,1361.6236,882.9827,95,1,0,16,0.4530343696241132,0.5039782794540255,0.1978502831570479,0,683.4105000000003,528.0924000000001,6,0,0.0,0,0,0,0.0,0,0.0,12277.446227272723,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,25,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.488539400271087,48,3827.733,16,8449.713227272727,3,1383.809918181818,3,882.9827,1,112.11060000000109,-12526.4629,22.18631818181817,0,1,65,65,2 + government,debt,5,-7.275957614183426e-12
66,64,3,3,12634.328500000003,0.0,12748.675,0.0,12745.9961,12745.9961,0.0,0.0,0.0,0.0,0.0025,0.0002,0.0,0.0,1.0,243.99514267617064,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.5,0.25,126.79169999999998,2580.065399999998,12.6009,127,1408.5381,1190.6264,1509.8537,87.09430000000009,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,180.2439,0.0,0.0105640832967351,3.973931060606061,4.882550000000001,,1.498401538461538,3.05840175592625,2.9516374312242504,132.0,132.0,66.0,254.66666666666663,158.0,25.0,23,0,0,2,8,3.0,256.0,10321.617600000003,1386.8984,925.8123,95,1,0,16,0.4559754165253133,0.505675728316517,0.2072695975440992,0,673.7732000000002,524.5589,8,0,0.0,0,0,0,0.0,0,0.0,12414.209815625003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,23,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4898344851808014,48,3846.3637,16,8567.846115625,3,1408.953884375,3,925.8123,1,114.34639999999963,-12745.9959,22.055484375000013,0,1,66,66,2 + government,debt,5,-7.275957614183426e-12
67,64,3,3,12844.798299999997,0.0,12961.4075,0.0,12958.9038,12958.9038,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,237.85670941300805,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.5,0.25,129.05439999999996,2643.8233999999984,12.6009,128,1422.8617000000002,1212.3919,1524.1378000000002,88.6787,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,173.57220000000004,0.0,0.0105772612338462,4.005420588235293,4.917359701492537,,1.5003060606060608,3.076199243259804,2.863088308287523,134.0,136.0,67.0,253.3333333333333,160.0,25.0,22,0,0,1,8,4.0,256.0,10452.7829,1415.0281,976.9873,95,1,0,16,0.4585570447404492,0.508092742311059,0.2173153754841887,0,676.1057000000001,544.7371999999999,8,0,0.0,0,0,0,0.0,0,0.0,12585.501492307692,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,22,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4922433139504281,48,3846.9388,16,8738.56269230769,3,1437.5041230769232,3,976.9873,1,116.60910000000078,-12958.9038,22.47602307692307,0,1,67,67,2 + government,debt,5,-7.275957614183426e-12
68,64,3,3,13059.691499999995,0.0,13178.4746,0.0,13171.7516,13171.7516,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,238.1352010431839,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.5,0.25,131.2283,2708.6441999999984,12.6009,131,1448.6816,1233.7884,1876.5768,90.0819,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,173.34140000000002,0.0,0.0106086442373038,4.019394326241135,4.894175000000001,,1.4950283582089552,3.08872778810144,2.777195659038897,136.0,141.0,68.0,254.66666666666669,162.0,25.0,22,0,0,0,10,7.0,256.0,10574.0421,1441.7678999999998,1043.8815,95,1,0,16,0.4624092499652994,0.511370821271774,0.2274836051462068,0,683.8007,566.7346,10,0,0.0,0,0,0,0.0,0,0.0,12705.255336363636,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,22,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4946003560350422,48,3869.1337000000008,16,8836.121636363636,3,1464.272490909091,3,1043.8815,1,118.78300000000056,-13171.7516,22.50459090909091,0,1,68,68,2 + government,debt,5,-7.275957614183426e-12
69,64,3,3,13272.383799999998,0.0,13393.376499999998,0.0,13387.0484,13387.0484,0.0,0.0,0.0,0.0,0.0025,0.0001,0.0,0.0,1.0,240.9614755527608,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.5,0.25,133.43790000000004,2774.5738999999976,12.6009,133,1467.7865,1255.0941999999998,1740.7065,91.52369999999986,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,175.9422,0.0,0.0103848783890793,4.06850076923077,4.862926086956524,,1.5028941176470587,3.0973293542741365,2.6938797892677298,138.0,130.0,69.0,256.0,164.0,25.0,22,0,0,2,9,2.0,256.0,10739.2483,1465.7187,1067.4167,95,1,0,16,0.4622078229220658,0.510386474388169,0.1961147316295048,0,694.5771000000001,528.9051000000001,9,0,0.0,0,0,0,0.0,0,0.0,12863.33571044776,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,22,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4933842356440954,48,3954.1485,16,8909.187210447762,3,1488.1441253731343,3,1067.4167,1,120.99259999999887,-13387.0483,22.425425373134328,0,1,69,69,2 + government,debt,5,-7.275957614183426e-12
70,64,3,3,13488.129599999998,0.0,13611.2976,0.0,13605.3644,13605.3644,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,242.6783193939877,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.5,0.25,135.61320000000003,2841.5759999999977,12.6009,134,1492.5964,1276.8506,1599.3386,91.2972000000001,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,176.8643,0.0,0.0105110799630776,4.046803703703704,4.950566176470588,,1.511473134328358,3.131947220360129,2.6130633955896982,136.0,135.0,68.0,253.3333333333333,161.99999999999997,25.0,22,0,0,2,7,4.0,256.0,10886.679000000002,1494.0149,1107.4357,95,1,0,16,0.4630364643914824,0.5104642140975972,0.2190379933118313,0,694.2110000000005,546.3185000000001,7,0,0.0,0,0,0,0.0,0,0.0,13022.370017647056,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,22,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4936397960707726,48,3988.6369,16,9033.733117647058,3,1516.558311764706,3,1107.4357,1,123.16790000000148,-13605.3644,22.54341176470588,0,1,68,68,2 + government,debt,5,-7.275957614183426e-12
71,64,3,3,13715.447499999997,0.0,13840.8054,0.0,13835.2671,13835.2671,0.0,0.0,0.0,0.0,0.0025,0.0003,0.0,0.0,1.0,250.8985694670705,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.5,0.25,137.80310000000003,2909.6653999999985,12.6009,136,1525.6113,1298.2933999999998,1719.3589,89.02269999999987,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,185.4354,0.0,0.0106355300035292,4.036997810218979,4.956512121212121,,1.514543076923077,3.133098530101212,2.534671493722007,132.0,137.0,66.0,253.3333333333333,158.0,25.0,23,0,0,1,7,7.0,256.0,11023.0403,1522.4224,1169.9845,95,1,0,16,0.4655279364884026,0.512225704188906,0.205314590965312,0,689.8877000000001,553.0687000000001,7,0,0.0,0,0,0,0.0,0,0.0,13171.351316417908,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,23,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4950240032198882,48,4001.224699999999,16,9170.12661641791,3,1545.0944970149253,3,1169.9845,1,125.35780000000088,-13835.2668,22.67209701492537,0,1,66,66,2 + government,debt,5,-7.275957614183426e-12
72,64,3,3,13934.760599999994,0.0,14062.3967,0.0,14057.2533,14057.2533,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,242.7868865056309,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.5,0.25,140.08130000000003,2978.900599999997,12.6009,136,1539.9287,1320.6155999999996,1472.9717,89.97710000000009,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,177.48250000000004,0.0,0.010566984052077,4.078690579710145,4.957223880597017,,1.481074242424243,3.138144852136112,2.458631348910348,134.0,138.0,67.0,254.66666666666669,160.0,25.0,22,0,0,0,8,9.0,256.0,11147.087399999997,1553.7888,1233.8844,95,1,0,16,0.4641028205381254,0.5106353186970272,0.2070361748679514,0,687.3598,562.8593,8,0,0.0,0,0,0,0.0,0,0.0,13300.167984615382,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,22,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4933945449006618,48,4056.1982,16,9243.969784615389,3,1576.5069461538462,3,1233.8844,1,127.63599999999973,-14057.2533,22.71814615384616,0,1,67,67,2 + government,debt,5,-7.275957614183426e-12
73,64,3,3,14163.363900000004,0.0,14293.2337,0.0,14288.4852,14288.4852,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,252.99696921083608,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.5,0.25,142.31500000000003,3049.2414999999974,12.6009,136,1571.1637999999998,1342.5604999999998,1503.0566,92.0518,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,187.0184,0.0,0.0107669722046272,4.131276612903226,4.919133823529409,,1.5139164179104478,3.161909371612308,2.3848724084430364,136.0,124.0,68.0,256.0,162.0,25.0,23,0,0,1,4,2.0,256.0,11342.988100000004,1578.8386999999998,1241.5371,95,1,0,16,0.4614895507835801,0.5068778065310549,0.2061710697801657,0,708.6283,512.2783,4,0,0.0,0,0,0,0.0,0,0.0,13448.770495454542,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,23,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4902210959914572,48,4149.4645,16,9299.305995454546,3,1601.0548136363636,3,1241.5371,1,129.8697000000004,-14288.4852,22.21611363636364,0,1,68,68,2 + government,debt,5,-7.275957614183426e-12
74,64,3,3,14395.871299999995,0.0,14527.9996,0.0,14523.646,14523.646,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,254.30645610154124,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.5,0.25,144.57350000000002,3120.734399999997,12.6009,138,1597.6048,1365.0973999999997,1647.353,90.58879999999996,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,187.47760000000005,0.0,0.0107650838087071,4.041293617021277,4.973836363636364,,1.5170061538461546,3.1982835946444705,2.313326236189745,132.0,141.0,66.0,254.66666666666663,157.99999999999997,25.0,23,0,0,1,10,6.0,256.0,11473.5434,1606.6718999999998,1315.656,95,1,0,16,0.46761552211499,0.5123897728000555,0.2236889907386021,0,700.8229000000001,569.8224000000001,10,0,0.0,0,0,0,0.0,0,0.0,13626.520795522383,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,23,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494703307934135,48,4141.0655,16,9485.455295522388,3,1629.3806462686566,3,1315.656,1,132.1282000000003,-14523.646,22.70874626865672,0,1,66,66,2 + government,debt,5,-7.275957614183426e-12
