round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,5413.586000000001,0.0,5441.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.5,0.25,27.473999999999997,27.474,0.0,1,37.84,119.05400000000002,129.0401,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,5.0,5.199999999999997,NaN,0.75,3.9199999999999986,3.920000000000001,80.0,16.0,40.0,512.0,82.0,0.0,107,0,0,0,11,5.0,512.0,4141.439999999999,527.858,744.288,192,0,0,32,0.07606842366423328,0.30263618682471605,0.8296197430571361,0,351.44000000000005,80.0,11,0,0.0,0,0,0,0.0,0,0.0,6271.4400000000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,107,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.824114667203434,96,2990.3199999999997,32,3281.12,4,-1911.202,4,-2219.872,2,19.63400000000016,0.0,11.25,0,0,40,40,0 bare bones,debt,1,0.0
2,128,4,4,5548.586699999999,0.0,5597.050300000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.5,0.25,48.4636,56.18599999999999,0.0,4,257.1846999999999,122.184,822.4918,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016679914401280958,4.811886363636369,5.553824000000004,NaN,1.1333280000000001,3.567199999999995,3.8023999999999996,200.0,264.0,100.0,512.0,202.0,0.0,77,2,2,3,12,8.0,510.0,3951.4715000000006,559.6524,1037.4628000000002,192,0,0,32,0.11485376377350875,0.35921230231581625,0.5657628387037539,0,833.9072000000011,1270.3380000000016,12,0,0.0,0,0,2,0.0,0,0.0,5833.509199999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,77,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.700406963231347,96,2619.8488999999995,32,3213.6602999999996,4,-1838.0675999999999,4,-1876.4571999999998,2,41.01560000000004,0.0,11.25,0,0,100,100,0 bare bones,debt,1,0.0
3,128,4,4,5965.2729999999965,0.0,6022.945100000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.5,0.25,57.672100000000015,84.77049999999997,0.0,7,551.2149999999999,134.52869999999993,1372.7433999999998,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005659941699979932,4.7325908396946605,5.434655725190842,NaN,1.3498761538461532,3.14356186868687,3.6883279999999994,262.0,262.0,131.0,506.0,264.0,0.0,61,2,2,2,12,8.0,510.0,3961.1387999999997,915.5247,1088.6095,191,1,0,32,0.09990751428604328,0.4363135520541541,0.4487741893510262,0,1005.3842999999998,1239.938800000001,12,0,0.0,0,0,2,0.0,0,0.0,6697.699419999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9742470971247301,96,2330.1655000000014,32,4367.53392,4,-1709.2603800000002,4,-1775.0704999999998,2,50.61610000000023,0.0,16.999920000000003,0,0,131,131,0 bare bones,debt,1,0.0
4,128,4,4,5921.986499999997,0.0,5986.034100000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.5,0.25,64.04760000000002,115.7822999999999,0.0,25,120.26180000000001,163.54830000000004,620.9764,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062136148743846,4.564096183206105,5.352633587786266,NaN,1.46166171875,2.9596762626262647,3.5776781599999987,262.0,262.0,131.0,507.3333333333333,264.0,0.0,60,8,8,1,19,12.0,504.0,3832.3909999999987,938.9009000000001,1150.6946,189,3,0,32,0.18677923789939532,0.5177198431823267,0.48383303307392134,0,968.4473000000004,1195.7931999999994,19,0,0.0,0,0,8,0.0,0,0.0,7079.534496153847,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7878960148284269,96,1972.7443999999991,32,5106.790096153844,4,-1586.5293730769229,4,-1662.7454,2,57.38360000000033,0.0,20.248142307692298,0,0,131,131,0 bare bones,debt,1,0.0
5,128,4,4,5935.1932000000015,0.0,6001.5279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.5,0.25,66.33470000000004,146.64669999999995,0.0,56,181.3889,168.18219999999997,458.29710000000006,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00891771436180453,4.648346124031011,5.267856589147291,NaN,1.5783585365853658,2.961128846153838,3.4703478152,258.0,258.0,129.0,502.6666666666667,260.0,0.0,61,1,1,3,13,6.0,511.0,3621.1695000000004,1080.1097,1233.914,186,6,0,32,0.23498981669630536,0.5573968270060468,0.4798754716650362,1,964.0316000000008,1199.273300000001,13,0,0.0,0,0,1,0.0,0,0.0,7144.518895312502,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667881607013924,96,1650.2630000000004,32,5494.255895312501,4,-1465.7098453125002,4,-1529.2859999999996,2,60.062699999999424,0.0,21.92492578125,0,0,129,129,0 bare bones,debt,1,0.0
6,128,4,4,5791.944300000004,0.0,5859.6235000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6,0.0,0.0,0.5,0.25,67.67920000000012,178.11220000000003,0.0,100,32.8197,176.06859999999998,454.46330000000006,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009852853597452109,4.712814393939395,5.274799999999991,NaN,1.716666666666667,2.934981203007504,3.3662373807439994,264.0,264.0,132.0,507.0,266.0,0.0,60,3,3,2,12,10.0,509.0,3342.2786,1107.4647,1342.201,186,6,0,32,0.31451473517198747,0.6123325038851859,0.4277239754941049,10,997.0050000000009,1244.1830000000002,12,0,0.0,0,0,3,0.0,0,0.0,7219.53401707317,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5835821250215805,96,1374.513,32,5845.021017073172,4,-1364.901631707317,4,-1370.759,2,61.79919999999959,0.0,23.675378048780487,0,0,132,132,0 bare bones,debt,1,0.0
7,128,4,4,5644.418599999999,0.0,5711.963100000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.5,0.25,67.54450000000016,208.79020000000003,0.0,151,30.8127,178.3383999999999,957.6334000000002,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010263572605496159,4.681946963562752,5.2439596899224865,NaN,1.7550821138211397,2.9000611538461363,3.2652502593216792,258.0,247.0,129.0,506.33333333333337,260.0,0.0,62,2,2,5,8,2.0,510.0,3118.435200000001,1128.7661,1397.2173,186,6,0,32,0.3698379163249883,0.6511159899346359,0.5128004719086987,12,969.8909999999998,1156.4408999999998,8,0,0.0,0,0,2,0.0,0,0.0,7415.648200000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,62,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4985151306223914,96,1068.4959000000003,32,6347.152300000002,4,-1268.2019999999998,4,-1265.5027,2,62.05649999999997,0.0,25.750000000000004,0,0,129,129,0 bare bones,debt,1,0.0
8,128,4,4,6010.4084,0.0,6076.9978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,18,0.0,0.0,0.5,0.25,66.58940000000011,238.6076000000001,0.0,208,540.1476,174.15780000000004,1336.4777,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.8094,0.009073617659971826,4.587435408560311,5.210333333333333,NaN,1.748803333333334,2.8445704724409393,3.167292751542029,252.0,257.0,126.0,503.33333333333337,254.0,0.0,63,1,1,9,10,4.0,511.0,2839.9256000000005,1152.9233,2017.5594999999998,186,6,0,32,0.5059980395040977,0.7125316243858826,0.5431257608574878,41,932.3772999999994,1178.9709,10,0,0.0,0,0,1,0.0,0,0.0,7275.075597560981,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,63,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4846274317201287,96,670.7506000000001,32,6604.32499756098,4,-1177.6369097560973,4,-1104.2956000000004,2,61.49340000000029,0.0,26.326231707317095,0,0,126,126,0 bare bones,debt,1,0.0
9,128,4,4,5831.8301999999985,0.0,5901.488300000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,30,0.0,0.0,0.5,0.25,69.6581000000001,271.98390000000023,0.0,246,30.307599999999997,208.8858000000001,498.54320000000007,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0109,0.007816930812758511,4.520827586206897,5.185618110236218,NaN,1.7203628099173556,2.7783992187499935,3.072273968995767,254.0,203.0,127.0,499.00000000000006,256.0,0.0,63,21,21,17,6,4.0,491.0,2805.5272,1186.5937,1839.7093,186,6,0,32,0.5455872262172328,0.7293633599758982,0.5257517988850422,50,919.4340999999995,917.7280000000001,7,1,0.0,0,0,21,0.0,0,0.0,7259.6177,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,63,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5149382038727346,96,571.8620000000001,32,6687.7557000000015,4,-1081.5811,4,-1206.4370999999999,2,64.95410000000011,0.0,26.232050000000008,0,0,127,127,0 bare bones,debt,1,0.0
10,128,4,4,5662.104099999999,0.0,5732.086200000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,29,0.0,0.0,0.5,0.25,69.98210000000009,304.21779999999995,0.0,281,31.9099,201.636,634.9298,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,25.746399999999998,0.010537186748662601,4.382433701657459,5.088903960396045,NaN,1.7262431578947375,2.682039705882346,2.9801057499258943,202.0,181.0,101.0,468.3333333333334,203.99999999999994,0.0,69,33,32,18,8,3.0,473.0,2711.2880999999998,1201.3698,1749.4462,186,6,0,32,0.5666128891259288,0.7374361971804733,0.5354777171644767,56,711.1292,793.2205000000001,12,4,0.0,0,0,33,0.0,0,0.0,7116.380439669424,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,69,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.518321739815669,96,494.5142000000001,32,6621.866239669423,4,-1006.4141471074379,4,-1220.9914999999999,2,65.67009999999972,0.0,25.805442148760335,0,0,101,101,0 bare bones,debt,1,0.0
