rung,system,runs,runs_collapsed,alive_at_end,alive_worst,runs_whole,alive_complete_runs,unemployed,tickets,bread_price,public_debt,public_debt_pct_gdp,shortfall_per_month,public_debt_peak,public_debt_peak_month,runs_debt_repaid,public_debt_repaid_month,gini_cash,gini_wealth,wealth_gap_meals,wealth_bottom10_meals,cash_gap_meals,cash_bottom10_meals,under_water,without_cash,land_held_by_households,gini_wealth_firms_attributed,liquidations,refoundings,bank_bailouts,worst_identity_gap
0 bare bones,debt,10,0,2.8,2,0,2.8,0.5,0.0,4.168352547077921,0.0,0.0,0.0,0.0,1.0,0,,0.2120200716827459,0.29676984710426335,131.0696807469018,98.08708892743411,3.034555174653282,1.91040661050504,0.0,0.0,0.4162455673758865,0.20381054111326352,12.7,8.1,0.0,5.684341886080801e-13
0 bare bones,sumsy,10,0,76.0,57,0,76.0,33.3,0.0,7.756279142002526,0.0,0.0,0.0,0.0,1.0,0,,0.6826256914938423,0.5995260049454543,442.2842930153212,-0.9146177319573974,40.48014013269328,0.08170011688001162,16.5,2.7,0.9140625,0.5184070561370283,0.0,0.0,0.0,1.8189894035458565e-11
1 + planning margin,debt,10,0,6.2,2,0,6.2,2.3,0.0,3.0765655951024256,0.0,0.0,0.0,0.0,1.0,0,,0.2942427301521965,,138.1538981038779,9.166274390384219,2.2894089728922418,0.7522032694661478,1.2,0.7,0.29871998587570625,0.1963995761632908,9.3,6.2,0.0,2.0463630789890885e-12
1 + planning margin,sumsy,10,0,86.2,69,0,86.2,38.0,0.0,7.5286249932807205,0.0,0.0,0.0,0.0,1.0,0,,0.710028886442547,0.6380048056355725,691.9534128373837,-0.7784348346658331,44.096269648924846,0.06345593685720645,16.6,2.3,0.9447916666666666,0.5754266821542147,0.0,0.0,0.0,1.4551915228366852e-11
10 + government reserve,debt,10,0,126.9,125,10,126.9,44.2,38.483333333333334,19.197569863280815,194414.44356,307.5926578360517,1222.7800851384459,194414.44356,120.0,0,,0.5262928668231848,0.6863382133942144,314.26247731862645,2.802436557427108,13.650211377890395,0.7478793074975542,0.0,0.0,0.975,0.6863382133942144,34.4,16.6,27626.45748,4.3655745685100555e-11
10 + government reserve,sumsy,10,0,127.9,127,10,127.9,31.3,155.85833333333332,6.377420490569816,0.0,0.0,-8.657212500000004,1434.4171199999998,22.1,10,81.6,0.6251522182874878,0.7519887342610934,847.8134696005893,-0.38163551139615637,56.80117167052439,0.32084851262800573,10.5,2.6,0.9348958333333334,0.7519887342610934,0.0,0.0,0.0,2.9103830456733704e-11
11 + fiscal policy and VAT,debt,10,0,121.4,116,7,121.4,43.1,38.86666666666667,5.370156569528608,68727.91140000003,328.5334595900852,129.61947360076732,68727.91140000003,120.0,0,,0.6371796926740083,0.744914157021453,578.8539302855106,-3.9327918999378575,25.23306966641305,0.5576917349644368,45.8,0.0,0.9197916666666666,0.744914157021453,19.4,9.0,11480.150020000001,7.275957614183426e-12
11 + fiscal policy and VAT,sumsy,10,0,128.0,128,10,128.0,31.4,156.49166666666665,6.189055089175478,75.09432,0.2788419343241701,-33.637273333333354,191.75578000000002,75.9,3,23.666666666666668,0.624256941329341,0.7492745460003587,879.7965168751832,-0.14747688291682098,58.91505854333606,0.4928201777370627,7.8,1.5,0.9520833333333334,0.7492745460003587,0.0,0.0,0.0,2.9103830456733704e-11
2 + government,debt,10,0,128.0,128,10,128.0,48.7,0.0,18.879939166465444,131951.80281999998,222.35681754789002,1350.054824235182,131951.80281999998,120.0,0,,0.7616716247356532,0.7522632839067424,2146.8500925547555,0.5912109312126553,101.08911551618579,0.9756508643110179,0.9,0.0,0.9807291666666667,0.7429537768525504,4.3,0.3,3488.4650599999995,1.1641532182693481e-10
2 + government,sumsy,10,0,128.0,128,10,128.0,46.6,0.0,4.672470363854015,0.0,0.0,-118.19689083333333,1444.2836899999998,21.9,10,57.5,0.3964531948062283,0.7317031998549373,1007.9895612743392,4.320921869654354,47.20499975016976,4.364547483598845,1.7,0.7,0.9546875,0.6796456395782235,0.0,0.0,0.0,1.8189894035458565e-11
