rung,system,runs,runs_collapsed,alive_at_end,alive_worst,runs_whole,unemployed,tickets,bread_price,public_debt,public_debt_pct_gdp,shortfall_per_month,public_debt_peak,public_debt_peak_month,runs_debt_repaid,public_debt_repaid_month,gini_cash,gini_wealth,wealth_gap_meals,wealth_bottom10_meals,cash_gap_meals,cash_bottom10_meals,under_water,without_cash,liquidations,refoundings,bank_bailouts,worst_identity_gap
0 bare bones,debt,10,0,35.6,15,0,19.7,0.0,NaN,2889.47052,NaN,0.0,2889.47052,120.0,0,,0.6857064454595625,0.900956009560921,37.6244053805875,-2.973044882617474,32.695118464277435,0.09815002265543328,13.7,1.8,2.5,0.4,1997.35923,2.7284841053187847e-12
0 bare bones,sumsy,10,0,509.7,508,10,246.9,0.0,4.644154348751683,0.0,0.0,0.0,0.0,1.0,0,,0.17069410849321853,0.20191037382560414,22.994317703647443,10.393613742593246,18.709171431457968,10.385463321771322,0.0,0.0,0.0,0.0,0.0,1.4551915228366852e-10
10 + responsive prices,debt,10,2,512.0,512,10,193.9,0.0,6.775323513282393,300995.4934200001,424.05751095973534,1897.7845908117442,300995.4934200001,98.4,0,,0.4475160808456263,0.7178965743137442,167.44048809460133,1.3767514789088955,14.12944397052151,1.1981570597510889,0.0,0.0,4.8,0.0,15531.064650000004,7.275957614183426e-11
10 + responsive prices,sumsy,10,0,512.0,512,10,134.7,630.1083333333333,5.440992679418635,0.0,0.0,-421.6359908333334,5486.591700000001,21.0,10,63.8,0.7053543319278088,0.7136963385564637,94.88628880592967,-0.38773192415472,93.22857617268687,0.2555617010922549,43.4,6.9,0.0,0.0,0.0,1.3096723705530167e-10
11 + government reserve,debt,10,2,512.0,512,10,193.9,0.0,6.775323513282393,300995.4934200001,424.05751095973534,1897.7845908117442,300995.4934200001,98.4,0,,0.4475160808456263,0.7178965743137442,167.44048809460133,1.3767514789088955,14.12944397052151,1.1981570597510889,0.0,0.0,4.8,0.0,15531.064650000004,7.275957614183426e-11
11 + government reserve,sumsy,10,0,512.0,512,10,134.0,632.4666666666667,5.665685902818326,0.0,0.0,-29.125472500000114,5486.591700000001,21.0,10,63.8,0.7258297361969307,0.7324865254802265,108.20468740302519,-0.4244701119833495,106.2672199307536,0.24815629637501915,44.3,7.2,0.0,0.0,0.0,2.3283064365386963e-10
12 + fiscal policy and VAT,debt,10,0,319.6,309,0,128.4,0.0,3.031136298992407,202278.62362999993,856.7438778615194,424.7816297038128,202278.62362999993,120.0,0,,0.617597977015352,0.7223787975604037,352.3538804379243,-4.393268244815879,34.210886855013534,0.5266925464735083,120.2,0.0,4.0,0.0,17297.29319,3.637978807091713e-11
12 + fiscal policy and VAT,sumsy,10,0,512.0,512,10,134.4,627.875,5.463424915690625,1122.08779,1.1466691649619951,10.319361666666612,1245.3723299999997,116.0,0,,0.7382794796076394,0.7457686641072607,118.08390472563424,-0.3687307954813658,113.94546404240813,0.2653659914476638,42.4,7.3,0.0,0.0,0.0,2.1827872842550278e-10
1 + planning margin,debt,10,8,126.3,58,0,59.9,0.0,NaN,7063.2018800000005,NaN,0.0,7063.2018800000005,55.8,0,,0.4131533658362806,0.27542480027645083,31.256486427122088,3.409084660965,14.961273216318423,0.6410821303574941,4.7,1.5,6.5,2.1,6719.047659999999,1.4551915228366852e-11
1 + planning margin,sumsy,10,0,512.0,512,10,243.4,0.0,3.6115839412765722,0.0,0.0,0.0,0.0,1.0,0,,0.1377625038421152,0.1903522309547346,35.24810571642227,16.951744452479566,22.87752067937159,16.87753562745214,0.0,0.0,0.0,0.0,0.0,1.6007106751203537e-10
2 + government,debt,10,0,512.0,512,10,192.1,0.0,4.579712221711906,191323.62403,323.9131680258978,1261.029447488132,191323.62403,120.0,0,,0.5705370399675292,0.5868851743298353,111.89306637652642,3.112322859961485,98.86246195073889,3.112386390396905,0.0,0.0,0.0,0.0,81.80728000000002,2.3283064365386963e-10
2 + government,sumsy,10,0,512.0,512,10,192.0,0.0,3.1672694980808167,0.0,0.0,-592.2380725000003,4060.480409999999,17.0,10,45.5,0.12104182057862516,0.1830135093213731,39.710157520671224,18.659132704033727,22.915430696346554,18.596812445175896,0.0,0.0,0.0,0.0,0.0,2.1827872842550278e-10
3 + interest on deposits,debt,10,0,512.0,512,10,191.8,0.0,4.437732916027761,189592.67774,331.2715764796862,1239.834733743255,189592.67774,120.0,0,,0.5558890158913258,0.5738986983648126,110.69892085795591,3.8346428362793494,96.84147100539883,3.8346428362793494,0.0,0.0,0.0,0.0,110.71762999999996,2.3283064365386963e-10
3 + interest on deposits,sumsy,10,0,512.0,512,10,192.0,0.0,3.1672694980808167,0.0,0.0,-592.2380725000003,4060.480409999999,17.0,10,45.5,0.12104182057862516,0.1830135093213731,39.710157520671224,18.659132704033727,22.915430696346554,18.596812445175896,0.0,0.0,0.0,0.0,0.0,2.1827872842550278e-10
4 + theatres,debt,10,0,512.0,512,10,179.4,125.19166666666665,6.401964838759959,154571.59021,214.85191973344908,1340.7215860341778,154571.59021,120.0,0,,0.47458330404402105,0.5512221236205141,76.38390931969693,2.7007840371824643,62.093808553820374,2.7011510842062085,0.0,0.0,1.6,0.0,2834.18617,2.0372681319713593e-10
4 + theatres,sumsy,10,0,512.0,512,10,128.0,628.2,6.036449037848132,0.0,0.0,-372.498005,3837.2358999999997,18.0,10,59.4,0.22507008839771858,0.33845856141600056,20.019392577124947,3.0378868681030236,9.847418429669213,3.0172194318416414,0.0,0.0,0.0,0.0,0.0,1.7462298274040222e-10
5 + government bonds,debt,10,0,512.0,512,10,191.9,0.0,2.525572909180747,153878.45795000013,472.4580467003355,757.4116194414091,153878.45795000013,120.0,0,,0.2726778529176513,0.5804783698802508,163.93816245399626,6.193622412817656,16.926638319927356,5.171285459285059,0.0,0.0,2.0,0.0,5350.766850000001,6.548361852765083e-11
5 + government bonds,sumsy,10,0,512.0,512,10,128.0,628.2,6.036449037848132,0.0,0.0,-372.498005,3837.2358999999997,18.0,10,59.4,0.22507008839771858,0.33845856141600056,20.019392577124947,3.0378868681030236,9.847418429669213,3.0172194318416414,0.0,0.0,0.0,0.0,0.0,1.7462298274040222e-10
6 + charge on balances,debt,10,0,512.0,512,10,192.1,0.0,2.498870299667646,150884.04762000003,468.2270079500425,710.7301272317898,150884.04762000003,120.0,0,,0.26801731009114127,0.5800899332952102,163.85884896426413,6.316360894936847,16.589818989832274,5.245861363771967,0.0,0.0,2.0,0.0,5356.78776,4.3655745685100555e-11
6 + charge on balances,sumsy,10,0,512.0,512,10,127.9,631.875,5.751792930691786,0.0,0.0,-883.9960316666666,3463.40605,15.0,10,44.1,0.23365610007870571,0.3483378900654495,21.11667728154567,3.049140294210311,10.415224421577317,3.0223698757771635,0.0,0.0,0.0,0.0,0.0,2.0372681319713593e-10
7 + two more theatres,debt,10,0,512.0,512,10,192.4,0.0,2.521046365882016,158898.16388,488.72308715865256,755.6620370180467,158898.16388,120.0,0,,0.2763248175363418,0.5876721693909884,172.46348874817377,5.93968682002289,17.320415505660254,5.134565347211468,0.0,0.0,4.0,0.0,8040.738520000002,6.548361852765083e-11
7 + two more theatres,sumsy,10,0,512.0,512,10,128.2,628.6583333333333,5.991221935037792,0.0,0.0,-374.3232799999999,3848.7211899999993,18.0,10,59.6,0.25313615914820636,0.3527160485350404,20.53642364846013,3.0142136147531424,11.401525317277043,2.9927853124508386,0.0,0.0,0.0,0.0,0.0,8.731149137020111e-11
8 + shareholders & share market,debt,10,0,512.0,512,10,191.7,0.0,2.6304444051642184,177105.13722000006,521.9711576706359,732.0588741120417,177105.13722000006,120.0,0,,0.3203719577142132,0.6108167311922511,210.68520785474902,5.442673157361515,21.61145232580875,4.729211652835199,0.0,0.0,4.0,0.0,14697.6823,5.820766091346741e-11
8 + shareholders & share market,sumsy,10,0,512.0,512,10,128.0,635.2666666666667,5.220355204426378,0.0,0.0,-431.20635333333337,3815.2187199999994,18.0,10,50.1,0.6235164339928934,0.6352724009885964,89.99011232628423,3.126937014882853,84.19069243858074,3.113660202980567,0.0,0.0,0.0,0.0,0.0,2.9103830456733704e-10
9 co-ops (side rung),debt,10,0,512.0,512,10,191.9,0.0,2.6411858579931793,177265.40822999977,520.2263657537986,734.7881810738281,177265.40822999977,120.0,0,,0.30512038959429566,0.5629086289919557,200.339103345949,9.647081802650634,20.57026952948103,5.211096724269863,0.0,0.0,4.0,0.0,14701.139009999999,8.003553375601768e-11
9 co-ops (side rung),sumsy,10,0,512.0,512,10,128.0,632.3833333333333,6.607297024158237,0.0,0.0,-314.6455175,3818.4469899999995,18.0,10,50.1,0.5045516050724091,0.35707018784156047,53.71778150841338,8.70484488035848,46.17366898195117,3.217437495200065,0.0,0.0,0.0,0.0,0.0,1.3096723705530167e-10
B best SuMSy village: co-ops + prices + reserve,debt,10,2,512.0,512,10,190.9,0.0,6.822225211023256,299844.1085399999,415.6852984515661,1871.2888146596865,299844.1085399999,98.4,0,,0.40050457481950985,0.6522860138454393,166.8375131924169,4.3177839918683105,14.056196616590578,1.472196208983608,0.0,0.0,4.8,0.0,15525.12179,1.3096723705530167e-10
B best SuMSy village: co-ops + prices + reserve,sumsy,10,0,512.0,512,10,134.3,631.3083333333334,7.056153263428182,0.0,0.0,-39.30866666666668,5497.7027499999995,21.0,10,71.0,0.622610594951224,0.42894583026593125,65.4273144211285,5.406562513204976,58.399470449326444,0.45663856685948245,0.0,0.0,0.0,0.0,0.0,2.473825588822365e-10
"E11 + government reserve, full money stock",sumsy,10,0,512.0,512,10,135.8,628.9166666666667,6.2892015534401295,0.0,0.0,-26.573919166666677,757.3500999999999,1.0,10,22.0,0.7432570554421176,0.7565067535542446,105.62095889641223,-0.5862164156009344,102.62284783347772,0.18725292959213832,57.6,11.0,0.0,0.0,0.0,2.6193447411060333e-10
"E2 + government, full money stock",sumsy,10,0,512.0,512,10,192.1,0.0,4.160956073179207,0.0,0.0,-543.9047025,757.3500999999999,1.0,10,22.0,0.13744895072408359,0.219668849690459,37.62781078551316,12.955719066876535,18.77179071294872,12.83545250458196,0.0,0.0,0.0,0.0,0.0,1.7462298274040222e-10
"E8 + shareholders & share market, full money stock",sumsy,10,0,512.0,512,10,128.1,623.225,5.471844585137324,0.0,0.0,-456.83204583333327,757.3500999999999,1.0,10,22.0,0.6328960737245926,0.6432405832665775,89.34375462859084,3.0238462493487104,85.14231089591115,3.003793744475599,0.0,0.0,0.0,0.0,0.0,1.7462298274040222e-10
"EB best SuMSy village, full money stock",sumsy,10,0,512.0,512,10,132.9,633.0333333333332,7.943984774974028,0.0,0.0,-37.55728333333335,757.3500999999999,1.0,10,22.0,0.6117357924916552,0.4136631491118522,63.60909834683791,5.63533653169813,55.06552660337631,0.5119655837693002,0.0,0.0,0.0,0.0,0.0,1.4551915228366852e-10
S1 rung 11 + greedy quarter,debt,10,1,512.0,512,10,182.0,0.0,5.587176547324818,284677.89371,399.7888624997883,1111.637117930646,284677.89371,109.2,0,,0.4590833974571936,0.7153113771196893,172.03203518105724,1.455321428620317,17.690194835898886,1.3469382115580744,0.0,0.0,4.4,0.0,14340.875659999996,8.731149137020111e-11
S1 rung 11 + greedy quarter,sumsy,10,0,512.0,512,10,76.2,640.0,4.461052337214377,0.0,0.0,-19.38449166666667,5325.132839999999,19.4,10,55.5,0.6335375993715993,0.6406924047035993,118.95649637001068,2.119522072880081,115.26989816373518,2.311538607494841,6.4,0.9,9.6,8.6,0.0,1.7462298274040222e-10
S2 rung 12 + greedy quarter,debt,10,0,508.0,503,10,188.6,0.0,4.206006352652787,174316.06063000005,318.47322027502037,812.802416096476,174316.06063000005,120.0,0,,0.6402458861919145,0.8465958360615566,195.09404084962583,-3.9452522935671723,18.38323559902529,0.5642572947924304,321.9,0.0,4.2,0.1,16229.11613,8.731149137020111e-11
S2 rung 12 + greedy quarter,sumsy,10,0,512.0,512,10,73.5,639.475,4.404663444760483,621.08177,0.6707852774972493,176.76024166666673,691.9102800000001,61.5,5,23.6,0.6410949036268783,0.6481120403228521,125.34079973013483,1.7293608205163733,121.5650461441139,1.9485241711154313,8.3,1.6,9.2,8.2,0.0,1.6007106751203537e-10
S3 rung 11 + everyone greedy,debt,10,0,512.0,512,10,162.3,0.0,5.944855137621653,349661.53961999965,423.9985160746677,1207.5761271099468,349661.53961999965,120.0,0,,0.3922169246321129,0.6309145948798314,180.69384615808627,7.105535829681957,15.932046946757662,2.633883551700813,0.0,0.0,4.0,0.0,16312.801539999995,1.3096723705530167e-10
S3 rung 11 + everyone greedy,sumsy,10,0,507.2,494,10,108.3,160.70000000000002,9.208227983699677,754.55598,0.5740495311510225,-69.75194000000009,5938.20399,46.7,10,83.2,0.6063028395279867,0.6368228309267783,50.11728155834971,0.6155205955823002,47.910879554043916,1.1702852783475932,26.9,1.4,52.4,50.3,0.0,1.8917489796876907e-10
S4 rung 12 + everyone greedy,debt,10,0,511.9,511,10,160.4,0.0,3.4650863437960324,153899.20266000007,328.14818742306534,545.3469782912146,153899.20266000007,120.0,0,,0.5485731708310794,0.7878732769225424,181.78203388072694,-3.2698621403475223,18.459465763857548,0.6550967507943504,199.5,0.0,4.2,0.0,12489.63409,5.820766091346741e-11
S4 rung 12 + everyone greedy,sumsy,10,2,511.8,511,10,80.0,203.73148148148147,7.746641854883626,3076.9523200000003,2.81302956044795,-174.1460351851851,4839.35314,106.8,0,,0.5297804372941877,0.5484796279815631,66.94004285642134,3.630778134524835,63.371309818171696,3.9720111122181345,10.7,0.0,58.1,55.4,0.0,1.7462298274040222e-10
SB1 best SuMSy + greedy quarter,debt,10,1,512.0,512,10,181.6,0.0,5.614269323489219,285020.8819600001,398.96926053064163,1121.6073263598953,285020.8819600001,109.2,0,,0.4116296403788575,0.6488266152665841,174.05517402519672,4.721936897906449,17.61178777503704,1.7897984396581321,0.0,0.0,4.4,0.0,14337.120599999998,1.0913936421275139e-10
SB1 best SuMSy + greedy quarter,sumsy,10,0,512.0,512,10,71.7,639.5666666666667,5.128717247372747,0.0,0.0,-25.08090583333336,5323.3841299999995,19.6,10,54.2,0.5403590810816378,0.36715976722329885,71.27121098276207,11.888930876044261,68.39626612920569,3.7200158583245333,0.0,0.0,9.8,8.8,0.0,1.8917489796876907e-10
SB2 best SuMSy + everyone greedy,debt,10,0,512.0,512,10,167.1,0.0,5.968548419730334,350906.72405999975,424.7256123140228,1229.4156405305012,350906.72405999975,120.0,0,,0.3814984881855003,0.5663136310584462,181.0154434232582,11.907541506696314,15.844526313508533,2.66947620117126,0.0,0.0,4.0,0.0,16312.994329999996,4.3655745685100555e-11
