rung,system,villagers,landowners,farms,bakeries,theatres,coops,ownership,founders,share_market,shows,seats_per_theatre,wage_tax,capital_tax,dividend_tax,consumption_tax,wealth_tax,public_jobs_share,benefit_loaves,bonds,reserve_rounds,tax_policy,levers,profit_tax,income_tax_period,profit_tax_period,deposit_interest,deposit_period,bank_rate_start,bank_rate_cap,government_rate,guaranteed_income,buffer,parking_fee,parking_tax,account_fee_person,account_fee_enterprise,charge_on_balances,price_bread,price_grain,price_wage,price_rent,price_ticket,unmet_share,unsold_share,ask_floor,bread_ceiling,planning_margin,greed
8 + shareholders & share market,debt,128,32,4,4,4,0,shareholders,48,true,1,40,0.15,0.15,0.3,0.0,0.0,0.1,2.0,true,0,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
8 + shareholders & share market,sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
9 co-ops (side rung),debt,128,32,4,4,4,6,mixed,24,true,1,40,0.15,0.15,0.3,0.0,0.0,0.1,2.0,true,0,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
9 co-ops (side rung),sumsy,128,32,4,4,4,6,mixed,24,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
10 + government reserve,debt,128,32,4,4,4,0,shareholders,48,true,1,40,0.15,0.15,0.3,0.0,0.0,0.1,2.0,true,3,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
10 + government reserve,sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,3,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
11 + fiscal policy and VAT,debt,128,32,4,4,4,0,shareholders,48,true,1,40,0.15,0.15,0.3,0.06,0.0,0.1,2.0,true,3,scale,"income -3.0, consumption 0.0, wealth 0.0, profit 0.0, parking 0.0",0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
11 + fiscal policy and VAT,sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.06,0.0,0.1,0.0,false,3,scale,"income -3.0, consumption 0.0, wealth 0.0, profit 0.0, parking 0.0",0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
S1 step 10 + greedy quarter,debt,128,32,4,4,4,0,shareholders,48,true,1,40,0.15,0.15,0.3,0.0,0.0,0.1,2.0,true,3,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,"25 % greedy, hoarding 0.5"
S1 step 10 + greedy quarter,sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,3,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,"25 % greedy, hoarding 0.5"
S2 step 11 + greedy quarter,debt,128,32,4,4,4,0,shareholders,48,true,1,40,0.15,0.15,0.3,0.06,0.0,0.1,2.0,true,3,scale,"income -3.0, consumption 0.0, wealth 0.0, profit 0.0, parking 0.0",0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,"25 % greedy, hoarding 0.5"
S2 step 11 + greedy quarter,sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.06,0.0,0.1,0.0,false,3,scale,"income -3.0, consumption 0.0, wealth 0.0, profit 0.0, parking 0.0",0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,"25 % greedy, hoarding 0.5"
S3 step 10 + everyone greedy,debt,128,32,4,4,4,0,shareholders,48,true,1,40,0.15,0.15,0.3,0.0,0.0,0.1,2.0,true,3,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,"100 % greedy, hoarding 0.5"
S3 step 10 + everyone greedy,sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,3,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,"100 % greedy, hoarding 0.5"
S4 step 11 + everyone greedy,debt,128,32,4,4,4,0,shareholders,48,true,1,40,0.15,0.15,0.3,0.06,0.0,0.1,2.0,true,3,scale,"income -3.0, consumption 0.0, wealth 0.0, profit 0.0, parking 0.0",0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,"100 % greedy, hoarding 0.5"
S4 step 11 + everyone greedy,sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.06,0.0,0.1,0.0,false,3,scale,"income -3.0, consumption 0.0, wealth 0.0, profit 0.0, parking 0.0",0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,"100 % greedy, hoarding 0.5"
B best SuMSy village: co-ops + reserve,debt,128,32,4,4,4,6,mixed,24,true,1,40,0.15,0.15,0.3,0.0,0.0,0.1,2.0,true,3,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
B best SuMSy village: co-ops + reserve,sumsy,128,32,4,4,4,6,mixed,24,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,3,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
SB1 best SuMSy + greedy quarter,debt,128,32,4,4,4,6,mixed,24,true,1,40,0.15,0.15,0.3,0.0,0.0,0.1,2.0,true,3,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,"25 % greedy, hoarding 0.5"
SB1 best SuMSy + greedy quarter,sumsy,128,32,4,4,4,6,mixed,24,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,3,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,"25 % greedy, hoarding 0.5"
SB2 best SuMSy + everyone greedy,debt,128,32,4,4,4,6,mixed,24,true,1,40,0.15,0.15,0.3,0.0,0.0,0.1,2.0,true,3,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,"100 % greedy, hoarding 0.5"
SB2 best SuMSy + everyone greedy,sumsy,128,32,4,4,4,6,mixed,24,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,3,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,"100 % greedy, hoarding 0.5"
"E2 + government, full money stock",debt,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.0,
"E2 + government, full money stock",sumsy,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"E8 + shareholders & share market, full money stock",debt,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.0,
"E8 + shareholders & share market, full money stock",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"E10 + government reserve, full money stock",debt,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.0,
"E10 + government reserve, full money stock",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,3,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"EB best SuMSy village, full money stock",debt,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.0,
"EB best SuMSy village, full money stock",sumsy,128,32,4,4,4,6,mixed,24,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,3,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"L2 + government, land levy",debt,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.0,
"L2 + government, land levy",sumsy,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,3,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"L10 + government reserve, land levy",debt,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.0,
"L10 + government reserve, land levy",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,3,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"LB best SuMSy village, land levy",debt,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.0,
"LB best SuMSy village, land levy",sumsy,128,32,4,4,4,6,mixed,24,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,3,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"LD10 + government reserve, land levy, land dividend",debt,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.0,
"LD10 + government reserve, land levy, land dividend",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,3,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"G8-20 step 8, public employment 20 %",debt,128,32,4,4,4,0,shareholders,48,true,1,40,0.15,0.15,0.3,0.0,0.0,0.2,2.0,true,0,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"G8-20 step 8, public employment 20 %",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.2,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"G8-30 step 8, public employment 30 %",debt,128,32,4,4,4,0,shareholders,48,true,1,40,0.15,0.15,0.3,0.0,0.0,0.3,2.0,true,0,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"G8-30 step 8, public employment 30 %",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.3,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"G8-40 step 8, public employment 40 %",debt,128,32,4,4,4,0,shareholders,48,true,1,40,0.15,0.15,0.3,0.0,0.0,0.4,2.0,true,0,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"G8-40 step 8, public employment 40 %",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.4,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"G8-50 step 8, public employment 50 %",debt,128,32,4,4,4,0,shareholders,48,true,1,40,0.15,0.15,0.3,0.0,0.0,0.5,2.0,true,0,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"G8-50 step 8, public employment 50 %",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.5,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"G10-20 step 10, public employment 20 %",debt,128,32,4,4,4,0,shareholders,48,true,1,40,0.15,0.15,0.3,0.0,0.0,0.2,2.0,true,3,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"G10-20 step 10, public employment 20 %",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.2,0.0,false,3,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"G10-30 step 10, public employment 30 %",debt,128,32,4,4,4,0,shareholders,48,true,1,40,0.15,0.15,0.3,0.0,0.0,0.3,2.0,true,3,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"G10-30 step 10, public employment 30 %",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.3,0.0,false,3,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"G10-40 step 10, public employment 40 %",debt,128,32,4,4,4,0,shareholders,48,true,1,40,0.15,0.15,0.3,0.0,0.0,0.4,2.0,true,3,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"G10-40 step 10, public employment 40 %",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.4,0.0,false,3,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"G10-50 step 10, public employment 50 %",debt,128,32,4,4,4,0,shareholders,48,true,1,40,0.15,0.15,0.3,0.0,0.0,0.5,2.0,true,3,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"G10-50 step 10, public employment 50 %",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.5,0.0,false,3,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"N8 step 8, market entry",debt,128,32,4,4,4,0,shareholders,48,true,1,40,0.15,0.15,0.3,0.0,0.0,0.1,2.0,true,0,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"N8 step 8, market entry",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"N10 step 10, market entry",debt,128,32,4,4,4,0,shareholders,48,true,1,40,0.15,0.15,0.3,0.0,0.0,0.1,2.0,true,3,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"N10 step 10, market entry",sumsy,128,32,4,4,4,0,shareholders,48,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,3,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"NB co-op village, market entry",debt,128,32,4,4,4,6,mixed,24,true,1,40,0.15,0.15,0.3,0.0,0.0,0.1,2.0,true,3,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
"NB co-op village, market entry",sumsy,128,32,4,4,4,6,mixed,24,true,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,3,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
