rung,system,n,survived,alive,amin,hungry,unempl,tickets,p_bread,gov_debt,deficit,gini_c
S4 rung 12 + everyone greedy,debt,5,1,55.8,45,6.08,15.02,0.0,3.03,11782.63,69.44,0.42
S4 rung 12 + everyone greedy,sumsy,10,9,57.6,0,0.19,2.81,36.09,11.11,0.08,43.16,0.3
